cnnaff,Smiles
4.77831,[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])c1c(-c2nnn([H])n2)c([C@@]([H])(C([H])([H])[H])[C@]([H])(O[H])C([H])([H])[H])c(=O)n([H])c1[H]
4.09448,[H]c1c(SC([H])([H])[H])c(C([H])([H])N([H])C([H])(C([H])([H])[H])C([H])([H])[H])c(=O)n([H])c1[H]
4.09459,[H]c1c([H])c([H])n([H])c(=O)c1C(=O)N([H])C([H])([H])[C@@]([H])(SC([H])([H])[H])C([H])([H])C([H])([H])[H]
5.58922,[H]c1sc(C(=O)c2c([H])c([H])c(C([H])([H])Sc3c([H])c([H])n([H])c(=O)c3[H])c([H])c2Cl)c([H])c1[H]
4.11044,[H]c1c(N2C([H])([H])C([H])([H])OC([H])([H])[C@]2([H])Cl)c(S(=O)(=O)C([H])([H])[H])c(=O)n([H])c1[H]
5.76689,[H]N=C(N([H])[H])[C@@]([H])(C([H])([H])Cl)[C@@](c1c([H])c([H])c([H])n(-c2c([H])nn(C([H])([H])[H])c2[H])c1=O)(C([H])([H])[H])C([H])(F)F
5.89878,[H]c1c([H])c(-c2c(Sc3c([H])c([H])c(OC(F)(F)F)c([H])c3[H])c([H])c([H])n([H])c2=O)c([H])c(C([H])([H])N([H])[H])c1[H]
5.38614,[H]c1c([H])c(C([H])([H])Sc2c([H])c(N=C=S)n([H])c(=O)c2[H])c([H])c([H])c1C(F)(F)F
4.13006,[H]c1c(N2C([H])([H])C([H])([H])OC([H])([H])[C@]2([H])C(=O)C(F)(F)F)c([H])c(=O)n([H])c1[H]
5.30311,[H]N=C(N([H])[H])C([H])([H])[C@]([H])(c1c([H])c([H])c([H])n([H])c1=O)[C@]([H])(C([H])([H])OC([H])([H])[H])C([H])([H])c1c([H])c([H])c([H])c(F)c1[H]
5.45322,[H]Sc1c([H])c(N=C=S)n([H])c(=O)c1C(=O)c1sc([H])c([H])c1C([H])([H])C1([H])C([H])([H])C1([H])[H]
4.14034,[H]c1c(SN([H])C(=O)OC([H])([H])C([H])([H])[H])c([H])c(=O)n([H])c1[H]
5.13662,[H]c1c(S[C@@]2([H])C([H])([H])C([H])([H])O[C@]([H])(N([H])C(=O)C([H])(C([H])([H])[H])C([H])([H])[H])C2([H])[H])c([H])c(=O)n([H])c1N=C=S
4.7612,[H]ON([H])C(=O)C(=C([H])c1c([H])c([H])c(=O)n([H])c1[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H]
4.75995,[H]OC([H])([H])C([H])([H])Oc1sc(N([H])c2c([H])c([H])n(-c3c([H])oc([H])c3[H])c(=O)c2[H])nc1[H]
4.14549,[H]c1c([H])c([H])n([H])c(=O)c1[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[C@@]1([H])C([H])([H])[C@]1([H])C([H])([H])N([H])C([H])([H])C([H])([H])[H]
5.14044,[H]c1nc2c([H])c([H])c([H])c(-n3c([H])c([H])c(SN([H])C(=O)OC([H])([H])C([H])([H])[H])c([H])c3=O)c2c([H])c1[H]
5.41829,[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C(C(=O)N([H])O[H])=C([H])c1c([H])c(F)c(=O)n([H])c1[H]
5.15093,[H]c1nc([H])c([C@]([H])(N([H])C(=O)c2c([H])c(N([H])C([H])([H])C([H])([H])[H])c(=O)n([H])c2[H])C([H])([H])C#N)c([H])n1
4.16047,[H]c1c(C([H])(F)F)c(C([H])([H])N([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])c([H])n([H])c1=O
5.15863,[H]Sc1c(N([H])c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c(N=C=S)n([H])c(=O)c1[H]
3.68774,[H]O[C@]([H])(C([H])([H])[H])[C@@]([H])(c1c([H])c([H])c([H])n([H])c1=O)C([H])([H])[H]
